AnoMes,total_transactions,total_value_brl
202301,4365833932,1910575883899.74
202302,4307580286,1812531230996.96
202303,5092026344,2196684484144.80
202304,5038153402,2058691807765.34
202305,5517812146,2293614535551.30
202306,5716857614,2314269454039.58
202307,6155096154,2414137613483.72
202308,6556460874,2573533834817.28
202309,6702111484,2554410269903.46
202310,7109217440,2761013080434.82
202311,7410708528,2844179202863.34
202312,8426848736,3200255223261.96
202401,7701285580,2966415005547.38
202402,7694162988,2846521473598.90
202403,8645854388,3183657047732.32
202404,8690540758,3472601292142.28
202405,9241480232,3541447721862.90
202406,9314447670,3552764268498.88
202407,9573275118,3909500151906.48
202408,10018767842,3896364693489.80
202409,9789917290,3874973101884.36
202410,10192313340,4176925956906.68
202411,10342553076,4163121865961.64
202412,11420226992,4658358425492.96
