payer_age_group,receiver_age_group,total_transactions,total_value_brl
30–39,Not informed,22609429178,3002049133292.22
20–29,Not informed,20715262634,1829561498022.50
40–49,Not informed,15581188134,2633932758312.98
20–29,20–29,13759885462,2871884873214.84
30–39,30–39,13599549254,4449806483339.40
Not informed,Not informed,10212968670,34098695576096.72
40–49,40–49,8704279110,3393339411471.26
50–59,Not informed,7025418488,1452572801514.66
Not informed,30–39,5753389450,3159901877945.22
20–29,30–39,5303495374,703157102010.66
Not informed,20–29,4946454648,1789576038670.50
30–39,40–49,4711087974,934290377674.30
30–39,20–29,4692975456,704328016066.40
Not informed,40–49,4417812596,2978110722135.28
40–49,30–39,4301819208,929413721324.94
20–29,40–49,4083919522,545266060803.44
<20,Not informed,3514166818,166721804372.10
40–49,20–29,3372541066,557751417020.06
50–59,50–59,3292551856,1552905673105.82
30–39,50–59,2639313310,521296534126.64
Not informed,50–59,2418277548,1793398877347.46
20–29,50–59,2357398662,348158609605.66
40–49,50–59,2259015874,543346535303.52
50–59,30–39,2055224010,500493794881.98
50–59,40–49,1986286150,539770253539.58
